id,claim_id,stage,event_type,payload,model_versions,duration_ms,created_at
02cf82e4-758c-473a-b7b1-c88d39597e97,507923d5-c5fb-47db-abe9-48d58d828ab7,fraud_engine,completed,"{""fraud_score"": 0.35, ""risk_band"": ""medium"", ""recommended_action"": ""manual_review"", ""tiers_evaluated"": 3, ""tier1_score"": 0.5, ""tier2_score"": 0.4, ""tier3_score"": 0.2, ""diagnostics"": {""primary_path"": {""tier2"": ""fallback_local"", ""tier3"": ""fallback_relational""}, ""services"": {""cohere"": {""used"": false, ""ok"": null, ""skipped_reason"": ""disabled""}, ""qdrant"": {""used"": false, ""ok"": null, ""skipped_reason"": ""disabled""}, ""jina"": {""used"": false, ""ok"": null, ""skipped_reason"": ""disabled""}, ""neo4j"": {""used"": true, ""ok"": false, ""fallback_used"": false, ""latency_ms"": 0, ""error"": ""Neo4j not initialized""}}, ""fallbacks"": [{""component"": ""tier2"", ""fallback"": ""fallback_local"", ""reason"": ""disabled""}, {""component"": ""tier3"", ""fallback"": ""fallback_relational"", ""reason"": ""upsert failed: Neo4j not initialized""}], ""timing_ms"": {""tier1"": 557, ""tier2"": 282, ""tier3"": 292, ""total"": 1705}}}",{},4345,2026-02-22 10:15:07.481031+00
036dd439-b62e-4666-8d49-d64401b95f27,2d40ed8b-b505-4fdf-91e5-1dd8b2dacef9,fraud_engine,completed,"{""fraud_score"": 0.115, ""risk_band"": ""low"", ""recommended_action"": ""none"", ""tiers_evaluated"": 3, ""tier1_score"": 0.0, ""tier2_score"": 0.25, ""tier3_score"": 0.1, ""diagnostics"": {""primary_path"": {""tier2"": ""fallback_local"", ""tier3"": ""fallback_relational""}, ""services"": {""cohere"": {""used"": false, ""ok"": null, ""skipped_reason"": ""disabled""}, ""qdrant"": {""used"": false, ""ok"": null, ""skipped_reason"": ""disabled""}, ""neo4j"": {""used"": false, ""ok"": null, ""skipped_reason"": ""disabled""}, ""jina"": {""used"": false, ""ok"": null, ""skipped_reason"": ""disabled""}}, ""fallbacks"": [{""component"": ""qdrant"", ""fallback"": ""local_similarity"", ""reason"": ""disabled""}, {""component"": ""neo4j"", ""fallback"": ""relational_graph"", ""reason"": ""disabled""}], ""timing_ms"": {""tier1"": 564, ""tier2"": 263, ""tier3"": 272, ""total"": 1644}}}",{},3687,2026-02-22 07:30:11.637663+00
0516cf02-f9f1-498a-a0a4-1dc5518a1ec6,507923d5-c5fb-47db-abe9-48d58d828ab7,fraud_engine,started,{},{},,2026-02-22 10:58:32.733833+00
06c23db4-6cf4-4a16-b85b-3117095f29d2,dd9701c6-620a-4956-a0e5-e88a845ae924,policy_engine,started,{},{},,2026-02-21 12:37:29.247959+00
074b8792-a8c1-4827-8325-1835da2a8ba3,2d40ed8b-b505-4fdf-91e5-1dd8b2dacef9,fraud_engine,started,{},{},,2026-02-22 08:06:48.799161+00
0838101d-a159-479f-b7d1-397dd1486df8,b6e94023-2764-4638-9a92-eca1515079d2,policy_engine,completed,"{""layer"": 2, ""ruleset_id"": ""a3606082-8539-4a3f-a7fa-9bdab93dd8f1"", ""status"": ""APPROVE"", ""rules_failed"": [], ""rules_flagged"": [], ""recommended_amount"": 45000.0, ""analytics_tags"": {""policy_violation_count"": 0, ""doc_gaps_count"": 0, ""hard_reject"": false, ""review_required"": false}}",{},803,2026-02-22 07:30:15.365505+00
0853f4f9-8d09-4c1b-954f-fd7019b36777,507923d5-c5fb-47db-abe9-48d58d828ab7,fraud_engine,completed,"{""fraud_score"": 0.33, ""risk_band"": ""medium"", ""recommended_action"": ""manual_review"", ""tiers_evaluated"": 3, ""tier1_score"": 0.5, ""tier2_score"": 0.4, ""tier3_score"": 0.15, ""diagnostics"": {""primary_path"": {""tier2"": ""fallback_local"", ""tier3"": ""fallback_relational""}, ""services"": {""cohere"": {""used"": false, ""ok"": null, ""skipped_reason"": ""disabled""}, ""qdrant"": {""used"": false, ""ok"": null, ""skipped_reason"": ""disabled""}, ""neo4j"": {""used"": false, ""ok"": null, ""skipped_reason"": ""disabled""}, ""jina"": {""used"": false, ""ok"": null, ""skipped_reason"": ""disabled""}}, ""fallbacks"": [{""component"": ""qdrant"", ""fallback"": ""local_similarity"", ""reason"": ""disabled""}, {""component"": ""neo4j"", ""fallback"": ""relational_graph"", ""reason"": ""disabled""}], ""timing_ms"": {""tier1"": 595, ""tier2"": 328, ""tier3"": 306, ""total"": 1689}}}",{},3907,2026-02-22 07:58:36.953615+00
0a93f661-ebbd-4b73-a3f2-c25d9bc853ec,507923d5-c5fb-47db-abe9-48d58d828ab7,fraud_engine,completed,"{""fraud_score"": 0.35, ""risk_band"": ""medium"", ""recommended_action"": ""manual_review"", ""tiers_evaluated"": 3, ""tier1_score"": 0.5, ""tier2_score"": 0.4, ""tier3_score"": 0.2, ""diagnostics"": {""primary_path"": {""tier2"": ""fallback_local"", ""tier3"": ""fallback_relational""}, ""services"": {""cohere"": {""used"": false, ""ok"": null, ""skipped_reason"": ""disabled""}, ""qdrant"": {""used"": false, ""ok"": null, ""skipped_reason"": ""disabled""}, ""jina"": {""used"": false, ""ok"": null, ""skipped_reason"": ""disabled""}, ""neo4j"": {""used"": true, ""ok"": false, ""fallback_used"": false, ""latency_ms"": 0, ""error"": ""Neo4j not initialized""}}, ""fallbacks"": [{""component"": ""tier2"", ""fallback"": ""fallback_local"", ""reason"": ""disabled""}, {""component"": ""tier3"", ""fallback"": ""fallback_relational"", ""reason"": ""upsert failed: Neo4j not initialized""}], ""timing_ms"": {""tier1"": 536, ""tier2"": 275, ""tier3"": 280, ""total"": 1645}}}",{},4249,2026-02-22 09:03:09.445611+00
0ad03ba6-3a66-4da9-b4b3-562b038dbdcb,2d40ed8b-b505-4fdf-91e5-1dd8b2dacef9,fraud_engine,completed,"{""fraud_score"": 0.155, ""risk_band"": ""low"", ""recommended_action"": ""none"", ""tiers_evaluated"": 3, ""tier1_score"": 0.0, ""tier2_score"": 0.25, ""tier3_score"": 0.2, ""diagnostics"": {""primary_path"": {""tier2"": ""fallback_local"", ""tier3"": ""fallback_relational""}, ""services"": {""cohere"": {""used"": false, ""ok"": null, ""skipped_reason"": ""disabled""}, ""qdrant"": {""used"": false, ""ok"": null, ""skipped_reason"": ""disabled""}, ""jina"": {""used"": false, ""ok"": null, ""skipped_reason"": ""disabled""}, ""neo4j"": {""used"": false, ""ok"": null, ""skipped_reason"": ""disabled""}}, ""fallbacks"": [{""component"": ""tier2"", ""fallback"": ""fallback_local"", ""reason"": ""disabled""}, {""component"": ""tier3"", ""fallback"": ""fallback_relational"", ""reason"": ""disabled""}], ""timing_ms"": {""tier1"": 536, ""tier2"": 267, ""tier3"": 329, ""total"": 1679}}}",{},3741,2026-02-22 08:58:52.960871+00
0b41dd23-c3e8-4cd1-909d-2aaabc6441ff,507923d5-c5fb-47db-abe9-48d58d828ab7,fraud_engine,started,{},{},,2026-02-22 08:59:09.137867+00
