id,config_key,config_value,config_type,description,version,updated_by,updated_at
11a35d32-88a5-47db-9592-298f0ec25264,policy.unmatched_line_item_action,manual_review,rule,What to do when a line item matches no keyword,1,,2026-02-20 13:38:23.799+00
14f889a4-a772-4367-ba51-d061d10272b5,policy.claim_submission_window_days_health,90,threshold,Health: Max days from incident to submission,1,,2026-02-20 13:38:23.799+00
25260457-cfe8-400e-83d8-cc0ff8985878,fraud.graph_component_alert_threshold,6,threshold,Tier3: component size triggering alert,1,,2026-02-22 06:49:21.892223+00
2654098b-4014-4baa-b447-f9cf38494f1b,policy.claim_submission_window_days_life,365,threshold,Life: Max days from incident to submission,1,,2026-02-20 13:38:23.799+00
2af39965-1cb9-4974-93b9-92e6efa6d7ca,fraud.provider_velocity_max_claims,20,threshold,Tier1: max claims per provider in window,1,,2026-02-22 06:49:21.892223+00
34dfca58-fb48-4159-b3c9-668bc40a50b4,fraud.graph_hops,2,threshold,Tier3: BFS hops for neighborhood,1,,2026-02-22 06:49:21.892223+00
4d4a87c3-d3bb-4c69-a960-b3b53f02a576,policy.auto_depreciation_applies_to_labour,false,feature_flag,Depreciation does NOT apply to labour charges,1,,2026-02-20 13:38:23.799+00
64870fa6-b675-4b66-9558-faed4dce65b0,fraud.amount_sigma_threshold,3,threshold,Tier1: anomaly threshold in std-dev units,1,,2026-02-22 06:49:21.892223+00
6730f00f-48cf-48fd-8c95-3911bb25ec41,policy.auto_depreciation_applies_to_glass,false,feature_flag,Depreciation does NOT apply to glass parts,1,,2026-02-20 13:38:23.799+00
779f3fd3-c7ae-45ad-8ee9-1a5ed698f349,fraud.similarity_top_k,5,threshold,Tier2: topK candidates,1,,2026-02-22 06:49:21.892223+00
84bf409d-e496-4e17-a8ce-ba9c998028c4,fraud.medium_threshold,0.3,threshold,Composite score >= this => MEDIUM risk,1,,2026-02-22 06:49:21.892223+00
98b7148a-be6e-4434-bc46-8018513799dc,fraud.velocity_max_claims,5,threshold,Tier1: max claims per claimant in window,1,,2026-02-22 06:49:21.892223+00
a176ec3f-cd17-4d03-8f49-746dbd4e974f,fraud.velocity_window_days,7,threshold,Tier1: claimant velocity window (days),1,,2026-02-22 06:49:21.892223+00
a24519ef-9f08-4667-a3f8-2199f7da0739,policy.claim_submission_window_days_property,30,threshold,Property: Max days from incident to submission,1,,2026-02-20 13:38:23.799+00
af116ce0-b060-4954-b52e-0930ce7b4453,fraud.tier_weights,"[0.3,0.3,0.4]",rule,"Layer3 tier weights [tier1, tier2, tier3]",1,,2026-02-22 06:49:21.892223+00
b1123177-dc2c-4b17-87f9-f52da03942fa,fraud.similarity_score_threshold,0.8,threshold,Tier2: similarity cutoff for strong match,1,,2026-02-22 06:49:21.892223+00
c348ccc8-09d2-4308-9f88-3d8da9d256bd,policy.keyword_match_case_sensitive,false,feature_flag,Line item keyword matching is case insensitive,1,,2026-02-20 13:38:23.799+00
c678f4bb-ff96-4a1c-a460-152c0cbe184e,fraud.provider_velocity_window_days,7,threshold,Tier1: provider velocity window (days),1,,2026-02-22 06:49:21.892223+00
c7175dd2-4ac6-47be-9741-228280b11adb,fraud.similarity_lookback_days,365,threshold,Tier2: lookback for similarity queries (days),1,,2026-02-22 06:49:21.892223+00
c78441fd-d8bc-456b-8c7f-37aea94b229c,fraud.high_threshold,0.7,threshold,Composite score >= this => HIGH risk,1,,2026-02-22 06:49:21.892223+00
cde5414a-259c-4177-aa28-660f00341da3,policy.health_room_proportionate_deduction,true,feature_flag,Enable proportionate deduction when room rent exceeds cap,1,,2026-02-20 13:38:23.799+00
d7aab49a-2110-4b0c-b8c1-18793961b7a2,policy.claim_submission_window_days_auto,30,threshold,Auto: Max days from incident to submission,1,,2026-02-20 13:38:23.799+00
e99613e0-03b2-48a7-8b72-8a8ae1d4bedb,policy.auto_total_loss_threshold_pct,75,threshold,Vehicle total loss when repair > X% of IDV,1,,2026-02-20 13:38:23.799+00
fbbe6e9e-2345-4d87-88d2-2aa3babec1bb,fraud.graph_lookback_days,365,threshold,Tier3: lookback for graph construction (days),1,,2026-02-22 06:49:21.892223+00
